team1,team2
 Arizona Cardinals, Baltimore Ravens
 Arizona Cardinals, Cincinnati Bengals
 Arizona Cardinals, New York Giants
 Arizona Cardinals, New Orleans Saints
 Arizona Cardinals, Tampa Bay Buccaneers
 Arizona Cardinals, San Francisco 49ers
 Arizona Cardinals, Seattle Seahawks
 Arizona Cardinals, Los Angeles Rams
 Atlanta Falcons, Minnesota Vikings
 Atlanta Falcons, Indianapolis Colts
 Atlanta Falcons, Houston Texans
 Atlanta Falcons, Arizona Cardinals
 Atlanta Falcons, New Orleans Saints
 Atlanta Falcons, Carolina Panthers
 Atlanta Falcons, San Francisco 49ers
 Atlanta Falcons, Tampa Bay Buccaneers
 Baltimore Ravens, Miami Dolphins
 Baltimore Ravens, Kansas City Chiefs
 Baltimore Ravens, Pittsburgh Steelers
 Baltimore Ravens, Seattle Seahawks
 Baltimore Ravens, Cincinnati Bengals
 Baltimore Ravens, Los Angeles Rams
 Baltimore Ravens, Buffalo Bills
 Baltimore Ravens, Cleveland Browns
 Buffalo Bills, New York Jets
 Buffalo Bills, New York Giants
 Buffalo Bills, Tennessee Titans
 Buffalo Bills, Cleveland Browns
 Buffalo Bills, Miami Dolphins
 Buffalo Bills, Dallas Cowboys
 Buffalo Bills, Pittsburgh Steelers
 Buffalo Bills, New England Patriots *
 Carolina Panthers, Arizona Cardinals
 Carolina Panthers, Houston Texans
 Carolina Panthers, Tampa Bay Buccaneers ¹
 Carolina Panthers, San Francisco 49ers
 Carolina Panthers, Green Bay Packers
 Carolina Panthers, New Orleans Saints
 Carolina Panthers, Atlanta Falcons
 Carolina Panthers, Indianapolis Colts
 Chicago Bears, Denver Broncos
 Chicago Bears, Washington Redskins
 Chicago Bears, Oakland Raiders ¹
 Chicago Bears, Philadelphia Eagles
 Chicago Bears, Los Angeles Rams
 Chicago Bears, Detroit Lions
 Chicago Bears, Green Bay Packers
 Chicago Bears, Minnesota Vikings
 Cincinnati Bengals, Seattle Seahawks
 Cincinnati Bengals, Buffalo Bills
 Cincinnati Bengals, Pittsburgh Steelers
 Cincinnati Bengals, Baltimore Ravens
 Cincinnati Bengals, Los Angeles Rams ¹
 Cincinnati Bengals, Oakland Raiders
 Cincinnati Bengals, Cleveland Browns
 Cincinnati Bengals, Miami Dolphins
 Cleveland Browns, New York Jets
 Cleveland Browns, Baltimore Ravens
 Cleveland Browns, San Francisco 49ers
 Cleveland Browns, New England Patriots
 Cleveland Browns, Denver Broncos
 Cleveland Browns, Pittsburgh Steelers
 Cleveland Browns, Arizona Cardinals
 Cleveland Browns, Cincinnati Bengals
 Dallas Cowboys, Washington Redskins
 Dallas Cowboys, New Orleans Saints
 Dallas Cowboys, New York Jets
 Dallas Cowboys, New York Giants
 Dallas Cowboys, Detroit Lions
 Dallas Cowboys, New England Patriots
 Dallas Cowboys, Chicago Bears
 Dallas Cowboys, Philadelphia Eagles
 Denver Broncos, Oakland Raiders
 Denver Broncos, Green Bay Packers
 Denver Broncos, Los Angeles Chargers
 Denver Broncos, Indianapolis Colts
 Denver Broncos, Minnesota Vikings
 Denver Broncos, Buffalo Bills
 Denver Broncos, Houston Texans
 Denver Broncos, Kansas City Chiefs
 Detroit Lions, Arizona Cardinals
 Detroit Lions, Philadelphia Eagles
 Detroit Lions, Green Bay Packers
 Detroit Lions, Oakland Raiders
 Detroit Lions, Chicago Bears
 Detroit Lions, Washington Redskins
 Detroit Lions, Minnesota Vikings
 Detroit Lions, Denver Broncos *
 Green Bay Packers, Chicago Bears
 Green Bay Packers, Dallas Cowboys
 Green Bay Packers, Kansas City Chiefs
 Green Bay Packers, Los Angeles Chargers
 Green Bay Packers, San Francisco 49ers
 Green Bay Packers, New York Giants
 Green Bay Packers, Minnesota Vikings
 Green Bay Packers, Detroit Lions
 Houston Texans, New Orleans Saints
 Houston Texans, Los Angeles Chargers
 Houston Texans, Kansas City Chiefs
 Houston Texans, Indianapolis Colts
 Houston Texans, Jacksonville Jaguars ¹
 Houston Texans, Baltimore Ravens
 Houston Texans, Tennessee Titans
 Houston Texans, Tampa Bay Buccaneers *
 Indianapolis Colts, Los Angeles Chargers
 Indianapolis Colts, Tennessee Titans
 Indianapolis Colts, Kansas City Chiefs
 Indianapolis Colts, Pittsburgh Steelers
 Indianapolis Colts, Houston Texans
 Indianapolis Colts, Tampa Bay Buccaneers
 Indianapolis Colts, New Orleans Saints
 Indianapolis Colts, Jacksonville Jaguars
 Jacksonville Jaguars, Houston Texans
 Jacksonville Jaguars, Denver Broncos
 Jacksonville Jaguars, Carolina Panthers
 Jacksonville Jaguars, Cincinnati Bengals
 Jacksonville Jaguars, Indianapolis Colts
 Jacksonville Jaguars, Tennessee Titans
 Jacksonville Jaguars, Oakland Raiders
 Jacksonville Jaguars, Atlanta Falcons
 Kansas City Chiefs, Jacksonville Jaguars
 Kansas City Chiefs, Oakland Raiders
